Time_Stamp: 2021-02-24 05:17:26 | level: INFO  | label:  client connected | Message: 127.0.0.1:49791 connected | IP Address: 127.0.0.1:49791
Time_Stamp: 2021-02-24 05:17:33 | level: INFO  | label:  this level is information about the systme. | Message: auto | IP Address: 127.0.0.1:49791
Time_Stamp: 2021-02-24 05:17:33 | level: WARN  | label:  this level is gives warninng about the system | Message: auto | IP Address: 127.0.0.1:49791
Time_Stamp: 2021-02-24 05:17:33 | level: ERROR  | label:  this level is gives errors about the system | Message: auto | IP Address: 127.0.0.1:49791
Time_Stamp: 2021-02-24 05:17:36 | level: INFO  | label:  Client disconnected | Message: undefined | IP Address: 127.0.0.1:49791
Time_Stamp: 2021-02-24 05:19:18 | level: INFO  | label:  client connected | Message: 127.0.0.1:49831 connected | IP Address: 127.0.0.1:49831
Time_Stamp: 2021-02-24 05:26:21 | level: INFO  | label:  client connected | Message: 127.0.0.1:49948 connected | IP Address: 127.0.0.1:49948
Time_Stamp: 2021-02-24 05:26:26 | level: INFO  | label:  this level is information about the systme. | Message: auto | IP Address: 127.0.0.1:49948
Time_Stamp: 2021-02-24 05:26:26 | level: WARN  | label:  this level is gives warninng about the system | Message: auto | IP Address: 127.0.0.1:49948
Time_Stamp: 2021-02-24 05:26:26 | level: ERROR  | label:  this level is gives errors about the system | Message: auto | IP Address: 127.0.0.1:49948
Time_Stamp: 2021-02-24 05:26:29 | level: INFO  | label:  Client disconnected | Message: client disconnected | IP Address: 127.0.0.1:49948
